date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:26:04	160196/160196	---MCZ	200	added ('OK')	text/html	etag:W/%22674c8007-271c4%22	https://html.themestransmit.com/minfo-tailwind/index.html	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/index.html	(from )
06:26:05	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Jul%202025%2023:26:04%20GMT	https://html.themestransmit.com/robots.txt		(from )
06:26:05	32423/32423	---M--	200	added ('OK')	image/png	etag:%22674c8007-7ea7%22	https://html.themestransmit.com/minfo-tailwind/assets/img/user-sidebar-thumb.png	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/user-sidebar-thumb.png	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:06	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Jul%202025%2023:26:05%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/fonts.gstatic.com/index.html	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:06	1226/1226	---MC-	200	added ('OK')	text/css	date:Wed,%2023%20Jul%202025%2023:26:05%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@200;300;400;500;600;700&display=swap	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/fonts.googleapis.com/css2b831.css	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:06	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Jul%202025%2023:26:05%20GMT	https://fonts.googleapis.com/	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/fonts.googleapis.com/index.html	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:06	173752/173752	---M--	200	added ('OK')	text/css	etag:%22674c8006-2a6b8%22	https://html.themestransmit.com/minfo-tailwind/assets/css/fontAwesome5Pro.css	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/css/fontAwesome5Pro.css	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:06	20646/20646	---M--	200	added ('OK')	text/css	etag:%22674c8006-50a6%22	https://html.themestransmit.com/minfo-tailwind/assets/css/cdheadline.css	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/css/cdheadline.css	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:07	15563/15563	---M--	200	added ('OK')	text/css	etag:%22674c8006-3ccb%22	https://html.themestransmit.com/minfo-tailwind/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/css/swiper-bundle.min.css	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:07	83836/83836	---M--	200	added ('OK')	text/css	etag:%22674c8006-1477c%22	https://html.themestransmit.com/minfo-tailwind/assets/css/style.min.css	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/css/style.min.css	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:07	591/591	---M--	200	added ('OK')	image/svg+xml	etag:%22674c8007-24f%22	https://html.themestransmit.com/minfo-tailwind/assets/img/site-logo.svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/site-logo.svg	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Jul%202025%2023:26:06%20GMT	http://www.w3.org/2000/svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/www.w3.org/2000/svg.8.delayed	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:09	1515/1515	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2023:44:06%20GMT	https://www.w3.org/2000/svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/www.w3.org/2000/svg.html	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:09	32279/32279	---M--	200	added ('OK')	image/png	etag:%22674c8007-7e17%22	https://html.themestransmit.com/minfo-tailwind/assets/img/user-sidebar-thumb-light.png	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/user-sidebar-thumb-light.png	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:10	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Jul%202025%2023:26:09%20GMT	https://html.themestransmit.com/minfo-tailwind/mycv.pdf	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/mycv.pdf	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:10	108761/108761	---M--	200	added ('OK')	image/png	etag:%22674c8007-1a8d9%22	https://html.themestransmit.com/minfo-tailwind/assets/img/hero-img-1.png	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/hero-img-1.png	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:10	59224/59224	---M--	200	added ('OK')	image/png	etag:%22674c8007-e758%22	https://html.themestransmit.com/minfo-tailwind/assets/img/hero-img-2.png	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/hero-img-2.png	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:10	6676/6676	---M--	200	added ('OK')	image/svg+xml	etag:%22674c8007-1a14%22	https://html.themestransmit.com/minfo-tailwind/assets/img/partners/logo1.svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/partners/logo1.svg	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:11	3343/3343	---M--	200	added ('OK')	image/svg+xml	etag:%22674c8007-d0f%22	https://html.themestransmit.com/minfo-tailwind/assets/img/partners/logo2.svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/partners/logo2.svg	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:11	4555/4555	---M--	200	added ('OK')	image/svg+xml	etag:%22674c8007-11cb%22	https://html.themestransmit.com/minfo-tailwind/assets/img/partners/logo3.svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/partners/logo3.svg	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:11	3814/3814	---M--	200	added ('OK')	image/svg+xml	etag:%22674c8007-ee6%22	https://html.themestransmit.com/minfo-tailwind/assets/img/partners/logo4.svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/partners/logo4.svg	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:11	1056/1056	---M--	200	added ('OK')	image/svg+xml	etag:%22674c8007-420%22	https://html.themestransmit.com/minfo-tailwind/assets/img/skill/figma.svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/skill/figma.svg	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:11	710/710	---M--	200	added ('OK')	image/svg+xml	etag:%22674c8007-2c6%22	https://html.themestransmit.com/minfo-tailwind/assets/img/skill/webflow.svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/skill/webflow.svg	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:12	957/957	---M--	200	added ('OK')	image/svg+xml	etag:%22674c8007-3bd%22	https://html.themestransmit.com/minfo-tailwind/assets/img/skill/tailwind.svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/skill/tailwind.svg	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:12	572/572	---M--	200	added ('OK')	image/svg+xml	etag:%22674c8007-23c%22	https://html.themestransmit.com/minfo-tailwind/assets/img/skill/html.svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/skill/html.svg	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:12	770/770	---M--	200	added ('OK')	image/svg+xml	etag:%22674c8007-302%22	https://html.themestransmit.com/minfo-tailwind/assets/img/skill/css.svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/skill/css.svg	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:12	1065/1065	---M--	200	added ('OK')	image/svg+xml	etag:%22674c8007-429%22	https://html.themestransmit.com/minfo-tailwind/assets/img/skill/js.svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/skill/js.svg	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:13	7156/7156	---M--	200	added ('OK')	image/svg+xml	etag:%22674c8007-1bf4%22	https://html.themestransmit.com/minfo-tailwind/assets/img/skill/jquery.svg	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/skill/jquery.svg	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:13	49676/49676	---MCZ	200	added ('OK')	text/html	etag:W/%22674c8007-c20c%22	https://html.themestransmit.com/minfo-tailwind/project-single.html	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/project-single.html	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:14	407191/407191	---M--	200	added ('OK')	image/png	etag:%22674c8007-63697%22	https://html.themestransmit.com/minfo-tailwind/assets/img/portfolio/portfolio-img1.png	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/portfolio/portfolio-img1.png	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:14	195177/195177	---M--	200	added ('OK')	image/png	etag:%22674c8007-2fa69%22	https://html.themestransmit.com/minfo-tailwind/assets/img/portfolio/portfolio-img2.png	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/portfolio/portfolio-img2.png	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:14	52013/52013	---M--	200	added ('OK')	image/png	etag:%22674c8007-cb2d%22	https://html.themestransmit.com/minfo-tailwind/assets/img/portfolio/portfolio-img3.png	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/portfolio/portfolio-img3.png	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:14	62908/62908	---MCZ	200	added ('OK')	text/html	etag:W/%22674c8006-f5bc%22	https://html.themestransmit.com/minfo-tailwind/all-projects.html	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/all-projects.html	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:14	417487/417487	---M--	200	added ('OK')	image/png	etag:%22674c8007-65ecf%22	https://html.themestransmit.com/minfo-tailwind/assets/img/portfolio/portfolio-img4.png	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/portfolio/portfolio-img4.png	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:15	66225/66225	---MCZ	200	added ('OK')	text/html	etag:W/%22674c8006-102b1%22	https://html.themestransmit.com/minfo-tailwind/article-details.html	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/article-details.html	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:17	1693037/1693037	---M--	200	added ('OK')	image/png	etag:%22674c8007-19d56d%22	https://html.themestransmit.com/minfo-tailwind/assets/img/blog/article1.png	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/blog/article1.png	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:17	1698785/1698785	---M--	200	added ('OK')	image/png	etag:%22674c8007-19ebe1%22	https://html.themestransmit.com/minfo-tailwind/assets/img/blog/article2.png	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/blog/article2.png	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:17	60353/60353	---MCZ	200	added ('OK')	text/html	etag:W/%22674c8006-ebc1%22	https://html.themestransmit.com/minfo-tailwind/all-blogs.html	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/all-blogs.html	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:17	12419/12419	---M--	200	added ('OK')	image/png	etag:%22674c8007-3083%22	https://html.themestransmit.com/minfo-tailwind/assets/img/testimonial/author1.png	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/testimonial/author1.png	(from https://html.themestransmit.com/minfo-tailwind/index.html)
06:26:18	13263/13263	---M--	200	added ('OK')	image/png	etag:%22674c8007-33cf%22	https://html.themestransmit.com/minfo-tailwind/assets/img/testimonial/author2.png	C:/My%20Web%20Sites/portfolio%20themetransmit%20green/html.themestransmit.com/minfo-tailwind/assets/img/testimonial/author2.png	(from https://html.themestransmit.com/minfo-tailwind/index.html)
